"State","State-Abbrev",Feb-20,Mar-20,Apr-20,May-20
"Alabama","AL",2.7,3.5,13.8,9.9
"Alaska","AK",5.8,5.6,13.5,12.6
"Arizona","AZ",4.5,5.5,13.4,8.9
"Arkansas","AR",3.5,4.8,10.8,9.5
"California","CA",3.9,5.3,16.4,16.3
"Colorado","CO",2.5,4.5,12.2,10.2
"Connecticut","CT",3.8,3.7,8.3,9.4
"Delaware","DE",3.9,5.1,14.9,15.8
"District of Columbia","DC",5.1,6,11.7,8.9
"Florida","FL",2.8,4.3,13.8,14.5
"Georgia","GA",3.1,4.2,12.6,9.7
"Hawaii","HI",2.7,2.6,23.8,22.6
"Idaho","ID",2.7,2.6,11.8,8.9
"Illinois","IL",3.4,4.6,17.2,15.2
"Indiana","IN",3.1,3.2,17.5,12.3
"Iowa","IA",2.8,3.7,11,10
"Kansas","KS",3.1,3.1,11.9,10
"Kentucky","KY",4.2,5.8,16.6,11
"Louisiana","LA",5.2,6.9,15.1,13.3
"Maine","ME",3.2,3.2,10.4,9.3
"Maryland","MD",3.3,3.3,10.1,9.9
"Massachusetts","MA",2.8,2.9,16.2,16.3
"Michigan","MI",3.6,4.1,24,21.2
"Minnesota","MN",3.1,3.1,8.7,9.9
"Mississippi","MS",5.4,5.3,16.3,10.6
"Missouri","MO",3.5,4.5,10.2,10.1
"Montana","MT",3.5,3.5,11.9,9
"Nebraska","NE",2.9,4.2,8.7,5.2
"Nevada","NV",3.6,6.3,30.1,25.3
"New Hampshire","NH",2.6,2.6,17.1,14.5
"New Jersey","NJ",3.8,3.8,16.3,15.2
"New Mexico","NM",4.8,5.9,11.9,9.2
"New York","NY",3.7,4.5,15.3,14.5
"North Carolina","NC",3.6,4.4,12.9,12.9
"North Dakota","ND",2.2,2.2,9.1,9.1
"Ohio","OH",4.1,5.5,17.6,13.7
"Oklahoma","OK",3.2,3.1,14.7,12.6
"Oregon","OR",3.3,3.3,14.9,14.2
"Pennsylvania","PA",4.7,6,16.1,13.1
"Rhode Island","RI",3.4,4.6,18.1,16.3
"South Carolina","SC",2.5,2.6,12.8,12.5
"South Dakota","SD",3.3,3.3,10.9,9.4
"Tennessee","TN",3.4,3.5,15.5,11.3
"Texas","TX",3.5,4.7,13.5,13
"Utah","UT",2.5,3.6,10.4,8.5
"Vermont","VT",2.4,3.2,16.5,12.7
"Virginia","VA",2.6,3.3,11.2,9.4
"Washington","WA",3.8,5.1,16.3,15.1
"West Virginia","WV",4.9,6.1,15.9,12.9
"Wisconsin","WI",3.5,3.4,13.6,12
"Wyoming","WY",3.7,3.7,9.6,8.8
