"State",Feb-20,Mar-20,"State-Abbrev"
"Alaska",5.8,5.6,"AK"
"Connecticut",3.8,3.7,"CT"
"Hawaii",2.7,2.6,"HI"
"Idaho",2.7,2.6,"ID"
"Mississippi",5.4,5.3,"MS"
"Oklahoma",3.2,3.1,"OK"
"Wisconsin",3.5,3.4,"WI"
"Kansas",3.1,3.1,"KS"
"Maine",3.2,3.2,"ME"
"Maryland",3.3,3.3,"MD"
"Minnesota",3.1,3.1,"MN"
"Montana",3.5,3.5,"MT"
"New Hampshire",2.6,2.6,"NH"
"New Jersey",3.8,3.8,"NJ"
"North Dakota",2.2,2.2,"ND"
"Oregon",3.3,3.3,"OR"
"South Dakota",3.3,3.3,"SD"
"Wyoming",3.7,3.7,"WY"
"Indiana",3.1,3.2,"IN"
"Massachusetts",2.8,2.9,"MA"
"South Carolina",2.5,2.6,"SC"
"Tennessee",3.4,3.5,"TN"
"Michigan",3.6,4.1,"MI"
"Virginia",2.6,3.3,"VA"
"Alabama",2.7,3.5,"AL"
"New York",3.7,4.5,"NY"
"North Carolina",3.6,4.4,"NC"
"Vermont",2.4,3.2,"VT"
"District of Columbia",5.1,6,"DC"
"Iowa",2.8,3.7,"IA"
"Arizona",4.5,5.5,"AZ"
"Missouri",3.5,4.5,"MO"
"Georgia",3.1,4.2,"GA"
"New Mexico",4.8,5.9,"NM"
"Utah",2.5,3.6,"UT"
"Delaware",3.9,5.1,"DE"
"Illinois",3.4,4.6,"IL"
"Rhode Island",3.4,4.6,"RI"
"Texas",3.5,4.7,"TX"
"West Virginia",4.9,6.1,"WV"
"Arkansas",3.5,4.8,"AR"
"Nebraska",2.9,4.2,"NE"
"Pennsylvania",4.7,6,"PA"
"Washington",3.8,5.1,"WA"
"California",3.9,5.3,"CA"
"Ohio",4.1,5.5,"OH"
"Florida",2.8,4.3,"FL"
"Kentucky",4.2,5.8,"KY"
"Louisiana",5.2,6.9,"LA"
"Colorado",2.5,4.5,"CO"
"Nevada",3.6,6.3,"NV"
