User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer,Response Time #1 (ms)
100012282,2020-04-02 14:00:00,Complete,News,Unknown,Unknown,US-SOUTH-FL-Ocala,0,None of the above / Not working for pay,9272
1000296325,2020-04-02 03:00:00,Complete,News,Male,55-64,US-SOUTH-AL-Muscle Shoals,0.8688379,I continue to commute to work,22582
1000475325,2020-04-01 22:00:00,Complete,Reference,Female,55-64,US-MIDWEST-MI,0.626525,None of the above / Not working for pay,5775
1000492508,2020-04-02 15:00:00,Complete,News,Male,55-64,US-SOUTH-TN-Nashville,0.8688379,I continue to commute to work,20659
1000512424,2020-04-03 14:00:00,Complete,News,Female,45-54,US-SOUTH-TX,0.9667193,Used to work from home and still do,32449
1000612950,2020-04-02 01:00:00,Complete,Other,Female,Unknown,US-SOUTH-FL,0,None of the above / Not working for pay,9935
1000750803,2020-04-03 00:00:00,Complete,News,Unknown,Unknown,US-WEST-HI-Napili-Honokowai,0,None of the above / Not working for pay,20624
1000772823,2020-04-01 19:00:00,Complete,News,Female,Unknown,US-MIDWEST-MN,0,None of the above / Not working for pay,9831
1000887655,2020-04-05 05:00:00,Complete,News,Unknown,Unknown,US-MIDWEST-IL-Bloomington,0,"Used to commute, now work from home",13310
1000977342,2020-04-01 18:00:00,Complete,News,Female,45-54,US-NORTHEAST-PA-Lock Haven,1.1173273,I continue to commute to work,21037
1000980444,2020-04-01 21:00:00,Complete,News,Female,55-64,US-SOUTH-AL,0.8486522,None of the above / Not working for pay,9734
1001013317,2020-04-02 21:00:00,Complete,Arts & Entertainment,Female,45-54,US-MIDWEST-IL,0.7136891,"Used to commute, now work from home",91006
1001016100,2020-04-02 16:00:00,Complete,News,Male,55-64,US-WEST-CO-Pueblo,1.1083777,"Used to commute, now work from home",25808
1001026755,2020-04-03 17:00:00,Complete,News,Male,55-64,US-NORTHEAST-NJ-Lakewood Township,1.0041968,"Used to commute, now work from home",10867
1001147214,2020-04-03 19:00:00,Complete,News,Female,45-54,US-WEST-NM-Albuquerque,1.2332451,I continue to commute to work,17465
1001196221,2020-04-02 21:00:00,Complete,News,Male,35-44,US-WEST-NV-Reno,1.3073979,"Used to commute, now work from home",25328
1001220897,2020-04-05 13:00:00,Complete,News,Male,35-44,US-SOUTH-NC-Charlotte,1.0248464,"Used to commute, now work from home",13107
100128062,2020-04-02 15:00:00,Complete,News,Female,18-24,US-SOUTH-VA,1.5354952,"Used to commute, now work from home",74771
100130085,2020-04-01 22:00:00,Complete,News,Male,55-64,US-WEST-MT-Havre,1.1083777,None of the above / Not working for pay,236530
1001455970,2020-04-03 13:00:00,Complete,News,Male,45-54,US-SOUTH-VA,0.9897133,"Used to commute, now work from home",15467
1001494761,2020-04-01 23:00:00,Complete,News,Unknown,Unknown,US-SOUTH-VA,0,None of the above / Not working for pay,7808
1001523690,2020-04-03 01:00:00,Complete,News,Male,Unknown,US-MIDWEST-IL-Chicago,0,I continue to commute to work,21053
100154762,2020-04-02 02:00:00,Complete,News,Unknown,Unknown,US-SOUTH-AR-Little Rock,0,Used to work from home and still do,5256
1001641354,2020-04-01 19:00:00,Complete,News,Male,65+,US-MIDWEST-ND-Bismarck,0.5987454,None of the above / Not working for pay,7465
1001774087,2020-04-02 12:00:00,Complete,News,Male,35-44,US-MIDWEST-MO-Florissant,0.756602,None of the above / Not working for pay,3757
1001787712,2020-04-01 23:00:00,Complete,News,Unknown,Unknown,US-NORTHEAST-PA-Hazleton,0,None of the above / Not working for pay,22132
1001958826,2020-04-02 09:00:00,Complete,News,Male,35-44,US-MIDWEST-WI,0.756602,None of the above / Not working for pay,1766
1001987227,2020-04-04 12:00:00,Complete,News,Female,35-44,US-SOUTH-TX,1.001036,None of the above / Not working for pay,12542
1002036081,2020-04-01 22:00:00,Complete,News,Female,25-34,US-MIDWEST-IA-Des Moines,0.8285787,"Used to commute, now work from home",264564
1002099890,2020-04-03 03:00:00,Complete,News,Male,18-24,US-SOUTH-TX-Houston,1.572018,I continue to commute to work,14626
1002186871,2020-04-02 16:00:00,Complete,News,Female,55-64,US-MIDWEST-OH-Tiffin,0.626525,I have recently been furloughed or laid-off,12049
1002215451,2020-04-02 04:00:00,Complete,News,Female,25-34,US-MIDWEST-WI,0.8285787,I have recently been furloughed or laid-off,21425
1002288069,2020-04-03 03:00:00,Complete,Reference,Female,65+,US-MIDWEST-KS-Wichita,0.5848347,I have recently been furloughed or laid-off,13465
100229491,2020-04-02 19:00:00,Complete,News,Unknown,Unknown,US-MIDWEST-MO,0,I continue to commute to work,14354
1002298109,2020-04-02 02:00:00,Complete,Arts & Entertainment,Male,25-34,US-MIDWEST-MO-Branson,0.848287,"Used to commute, now work from home",11538
100249412,2020-04-02 12:00:00,Complete,News,Female,55-64,US-SOUTH-FL-Tampa,0.8486522,None of the above / Not working for pay,14907
1002590633,2020-04-03 20:00:00,Complete,News,Unknown,Unknown,US-NORTHEAST-ME-Lewiston,0,None of the above / Not working for pay,12834
1002620347,2020-04-04 14:00:00,Complete,News,Female,25-34,US-SOUTH-AL,1.1223416,None of the above / Not working for pay,7363
1002622772,2020-04-05 17:00:00,Complete,News,Male,45-54,US-NORTHEAST-NY-Syracuse,1.1439037,"Used to commute, now work from home",11772
1002677930,2020-04-03 23:00:00,Complete,News,Male,65+,US-SOUTH-TN,0.8110236,Used to work from home and still do,78721
1002717639,2020-04-01 18:00:00,Complete,News,Female,35-44,US-SOUTH-FL-Gainesville,1.001036,None of the above / Not working for pay,41133
1002927609,2020-04-04 19:00:00,Complete,News,Female,45-54,US-SOUTH-NC-Wilson,0.9667193,I continue to commute to work,30305
1002928128,2020-04-02 03:00:00,Complete,News,Male,55-64,US-SOUTH-TN,0.8688379,None of the above / Not working for pay,64329
1002960004,2020-04-02 00:00:00,Complete,News,Male,45-54,US-MIDWEST-NE-Omaha,0.7306647,None of the above / Not working for pay,3443
1003007126,2020-04-02 18:00:00,Complete,News,Female,18-24,US-SOUTH-VA-Tuckahoe,1.5354952,"Used to commute, now work from home",27694
1003010154,2020-04-02 15:00:00,Complete,News,Unknown,Unknown,US-MIDWEST-MO,0,None of the above / Not working for pay,9508
100303051,2020-04-01 19:00:00,Complete,News,Unknown,Unknown,US-MIDWEST-IL,0,"Used to commute, now work from home",37414
1003033236,2020-04-03 08:00:00,Complete,News,Male,55-64,US-MIDWEST-IN-Evansville,0.6414274,I continue to commute to work,13116
1003189250,2020-04-04 14:00:00,Complete,News,Male,25-34,US-SOUTH-GA-Rex,1.1490373,I continue to commute to work,21236
1003233700,2020-04-03 19:00:00,Complete,News,Male,65+,US-WEST-ID-Hailey,1.0346239,None of the above / Not working for pay,14972
1003296887,2020-04-03 11:00:00,Complete,News,Female,55-64,US-MIDWEST-MN-Austin,0.626525,"Used to commute, now work from home",11683
1003299238,2020-04-02 12:00:00,Complete,News,Male,25-34,US-SOUTH-NC-Durham,1.1490373,None of the above / Not working for pay,3672
1003380596,2020-04-03 23:00:00,Complete,News,Female,55-64,US-SOUTH-LA-New Orleans,0.8486522,"Used to commute, now work from home",13541
1003434195,2020-04-01 18:00:00,Complete,News,Male,35-44,US-WEST-AZ,1.3073979,None of the above / Not working for pay,13508
1003449688,2020-04-02 17:00:00,Complete,News,Female,35-44,US-NORTHEAST-NY,1.1569904,None of the above / Not working for pay,9612
1003467924,2020-04-03 00:00:00,Complete,News,Male,55-64,US-SOUTH-FL,0.8688379,I have recently been furloughed or laid-off,34792
1003602104,2020-04-05 12:00:00,Complete,News,Male,35-44,US-SOUTH-NC,1.0248464,I continue to commute to work,12370
100364212,2020-04-04 17:00:00,Complete,News,Male,65+,US-SOUTH-AL-Opelika,0.8110236,None of the above / Not working for pay,46175
1003661717,2020-04-02 05:00:00,Complete,News,Female,35-44,US-SOUTH-TX-Killeen,1.001036,I continue to commute to work,15366
1003668034,2020-04-03 21:00:00,Complete,News,Female,35-44,US-SOUTH-FL,1.001036,"Used to commute, now work from home",13732
1003839503,2020-04-02 11:00:00,Complete,News,Female,25-34,US-SOUTH-VA-Richmond,1.1223416,"Used to commute, now work from home",15134
1004080064,2020-04-03 04:00:00,Complete,News,Unknown,Unknown,US-WEST-OR,0,"Used to commute, now work from home",27756
1004116454,2020-04-04 23:00:00,Complete,News,Female,Unknown,US-SOUTH-GA,0,"Used to work from home, but now I commute",2137
1004151281,2020-04-05 03:00:00,Complete,News,Female,35-44,US-WEST-OR,1.277023,None of the above / Not working for pay,9704
1004155284,2020-04-04 16:00:00,Complete,News,Female,18-24,US-SOUTH-KY,1.5354952,None of the above / Not working for pay,13898
1004170222,2020-04-03 21:00:00,Complete,News,Male,55-64,US-SOUTH-DE-Newark,0.8688379,"Used to commute, now work from home",21179
1004271406,2020-04-02 12:00:00,Complete,News,Female,18-24,US-NORTHEAST-NY,1.7747146,None of the above / Not working for pay,397984
1004299571,2020-04-02 23:00:00,Complete,News,Male,35-44,US-NORTHEAST-NY-New York,1.1845102,Used to work from home and still do,45937
1004325676,2020-04-04 08:00:00,Complete,News,Female,55-64,US-NORTHEAST-NY,0.9808662,"Used to commute, now work from home",40490
1004469702,2020-04-02 14:00:00,Complete,News,Female,65+,US-WEST-WA-Tacoma,1.0105864,None of the above / Not working for pay,11962
1004580939,2020-04-02 03:00:00,Complete,News,Female,35-44,US-SOUTH-NC,1.001036,I continue to commute to work,10816
1004605803,2020-04-03 23:00:00,Complete,News,Male,55-64,US-MIDWEST-IA-Cedar Falls,0.6414274,"Used to commute, now work from home",11145
1004702115,2020-04-01 23:00:00,Complete,News,Male,35-44,US-SOUTH-VA,1.0248464,I have recently been furloughed or laid-off,30549
1004791272,2020-04-02 19:00:00,Complete,News,Female,35-44,US-NORTHEAST-PA,1.1569904,I have recently been furloughed or laid-off,6473
1004832054,2020-04-02 18:00:00,Complete,News,Female,55-64,US-SOUTH-AL-Gadsden,0.8486522,None of the above / Not working for pay,28638
1004860011,2020-04-02 15:00:00,Complete,News,Female,Unknown,US-WEST-CO-Aurora,0,"Used to commute, now work from home",14732
1005071602,2020-04-03 14:00:00,Complete,Arts & Entertainment,Female,55-64,US-NORTHEAST-NY,0.9808662,I continue to commute to work,8840
1005141537,2020-04-04 17:00:00,Complete,News,Female,25-34,US-SOUTH-NC-Raleigh,1.1223416,I continue to commute to work,24911
1005163099,2020-04-02 18:00:00,Complete,News,Female,55-64,US-SOUTH-MS-Jackson,0.8486522,I have recently been furloughed or laid-off,18884
1005337131,2020-04-03 18:00:00,Complete,News,Unknown,Unknown,US-SOUTH-TX-Dallas,0,"Used to commute, now work from home",84937
1005343100,2020-04-02 01:00:00,Complete,News,Male,35-44,US-SOUTH-FL,1.0248464,I continue to commute to work,15097
1005392337,2020-04-03 02:00:00,Complete,Arts & Entertainment,Unknown,Unknown,US-MIDWEST-MI,0,None of the above / Not working for pay,5456
1005459287,2020-04-02 20:00:00,Complete,News,Male,55-64,US-SOUTH-TX,0.8688379,None of the above / Not working for pay,9467
1005497159,2020-04-02 00:00:00,Complete,News,Unknown,Unknown,US-SOUTH-SC,0,Used to work from home and still do,31212
1005620406,2020-04-02 14:00:00,Complete,News,Male,45-54,US-SOUTH-MS-Biloxi,0.9897133,Used to work from home and still do,22951
100564837,2020-04-04 14:00:00,Complete,News,Unknown,Unknown,US-MIDWEST-IL-Chicago,0,"Used to commute, now work from home",8162
1005757189,2020-04-02 09:00:00,Complete,News,Male,65+,US-SOUTH-GA,0.8110236,None of the above / Not working for pay,28765
1005824112,2020-04-02 23:00:00,Complete,News,Male,25-34,US-SOUTH-NC-Greensboro,1.1490373,I continue to commute to work,16264
1005971728,2020-04-02 22:00:00,Complete,News,Female,55-64,US-SOUTH-MS-Jackson,0.8486522,None of the above / Not working for pay,14805
