User ID,Time (UTC),Survey Completion,Publisher Category,Gender,Age,Geography,Weight,Question #1 Answer,Response Time #1 (ms)
100012282,2020-04-02 14:00:00,Complete,News,Unknown,Unknown,US-SOUTH-FL-Ocala,0,None of the above / Not working for pay,9272
1000296325,2020-04-02 03:00:00,Complete,News,Male,55-64,US-SOUTH-AL,0.8660212,I continue to commute to work,22582
1000475325,2020-04-01 22:00:00,Complete,Reference,Female,55-64,US-MIDWEST-MI,0.6146492,None of the above / Not working for pay,5775
1000492508,2020-04-02 15:00:00,Complete,News,Male,55-64,US-SOUTH-TN-Nashville,0.8660212,I continue to commute to work,20659
1000612950,2020-04-02 01:00:00,Complete,Other,Female,Unknown,US-SOUTH-FL,0,None of the above / Not working for pay,9935
1000750803,2020-04-03 00:00:00,Complete,News,Unknown,Unknown,US-WEST-HI,0,None of the above / Not working for pay,20624
1000772823,2020-04-01 19:00:00,Complete,News,Female,Unknown,US-MIDWEST-MN,0,None of the above / Not working for pay,9831
1000977342,2020-04-01 18:00:00,Complete,News,Female,45-54,US-NORTHEAST-PA,1.2453515,I continue to commute to work,21037
1000980444,2020-04-01 21:00:00,Complete,News,Female,55-64,US-SOUTH-AL,0.8425428,None of the above / Not working for pay,9734
1001013317,2020-04-02 21:00:00,Complete,Arts & Entertainment,Female,45-54,US-MIDWEST-IL,0.7161769,"Used to commute, now work from home",91006
1001016100,2020-04-02 16:00:00,Complete,News,Male,55-64,US-WEST-CO-Pueblo,1.0481691,"Used to commute, now work from home",25808
1001196221,2020-04-02 21:00:00,Complete,News,Male,35-44,US-WEST-NV-Reno,1.2470563,"Used to commute, now work from home",25328
100128062,2020-04-02 15:00:00,Complete,News,Female,18-24,US-SOUTH-VA,1.4947061,"Used to commute, now work from home",74771
100130085,2020-04-01 22:00:00,Complete,News,Male,55-64,US-WEST-MT-Havre,1.0481691,None of the above / Not working for pay,236530
1001494761,2020-04-01 23:00:00,Complete,News,Unknown,Unknown,US-SOUTH-VA,0,None of the above / Not working for pay,7808
1001523690,2020-04-03 01:00:00,Complete,News,Male,Unknown,US-MIDWEST-IL-Chicago,0,I continue to commute to work,21053
100154762,2020-04-02 02:00:00,Complete,News,Unknown,Unknown,US-SOUTH-AR-Little Rock,0,Used to work from home and still do,5256
1001641354,2020-04-01 19:00:00,Complete,News,Male,65+,US-MIDWEST-ND-Bismarck,0.603389,None of the above / Not working for pay,7465
1001774087,2020-04-02 12:00:00,Complete,News,Male,35-44,US-MIDWEST-MO-Florissant,0.7516551,None of the above / Not working for pay,3757
1001787712,2020-04-01 23:00:00,Complete,News,Unknown,Unknown,US-NORTHEAST-PA-Hazleton,0,None of the above / Not working for pay,22132
1001958826,2020-04-02 09:00:00,Complete,News,Male,35-44,US-MIDWEST-WI,0.7516551,None of the above / Not working for pay,1766
