"User ID","Time (UTC)","Survey Completion","Publisher Category","Gender","Age","Geography","Weight","Question #1 Answer","Response Time #1 (ms)"
"1000060079","2020-06-27 04:00:00","Complete","News","Female","55-64","US-SOUTH-AL-Pelham",0.9224678,"I continue to commute to work",23342
"1000194255","2020-06-27 04:00:00","Complete","News","Female","45-54","US-WEST-NM-Los Lunas",1.110445,"Used to commute, now work from home",20765
"1000207679","2020-06-26 14:00:00","Complete","News","Female","25-34","US-SOUTH-VA-Washington",1.1548946,"I continue to commute to work",13883
"1000290132","2020-07-03 04:00:00","Complete","News","Male","35-44","US-SOUTH-TX-Pflugerville",0.9299189,"I continue to commute to work",45273
"1000312154","2020-06-24 02:00:00","Complete","News","Male","25-34","US-MIDWEST-IN-Indianapolis",0.6935496,"Used to commute, now work from home",24647
"1000325891","2020-06-25 14:00:00","Complete","News","Female","25-34","US-MIDWEST-IL-Chicago",0.788347,"Not working for pay before start of COVID19",7007
"1000437868","2020-07-04 21:00:00","Complete","News","Female","35-44","US-SOUTH-TX",1.0570243,"Used to commute, now work from home",20411
"1000707734","2020-06-25 11:00:00","Complete","News","Unknown","Unknown","US-NORTHEAST-PA",0,"Not working for pay before start of COVID19",32788
"1000778507","2020-06-26 16:00:00","Complete","News","Female","55-64","US-MIDWEST-IL",0.6296892,"I have recently been furloughed or laid-off",9704
"1000945615","2020-07-05 02:00:00","Complete","News","Female","55-64","US-NORTHEAST-NY",1.2281529,"Not working for pay before start of COVID19",11601
"1000990714","2020-06-25 11:00:00","Complete","News","Female","35-44","US-SOUTH-VA-Virginia Beach",1.0570243,"Used to work from home and still do",11584
"1001006055","2020-06-25 10:00:00","Complete","News","Female","25-34","US-NORTHEAST-PA-York",1.5376007,"Used to work from home, but now I commute",5665
"1001016938","2020-06-29 20:00:00","Complete","News","Female","45-54","US-MIDWEST-WI-Madison",0.6731503,"Not working for pay before start of COVID19",10868
"1001073044","2020-07-02 01:00:00","Complete","News","Female","25-34","US-SOUTH-LA-New Orleans",1.1548946,"Not working for pay before start of COVID19",2575
"1001101734","2020-07-02 02:00:00","Complete","News","Male","45-54","US-SOUTH-TX-Carrollton",0.867555,"I have recently been furloughed or laid-off",30699
"1001104605","2020-06-26 13:00:00","Complete","News","Female","25-34","US-MIDWEST-MO",0.788347,"Used to commute, now work from home",11823
"1001112406","2020-06-27 12:00:00","Complete","News","Female","55-64","US-MIDWEST-IL-Moline",0.6296892,"Not working for pay before start of COVID19",22414
"1001185899","2020-06-29 00:00:00","Complete","News","Male","25-34","US-MIDWEST-IA-Omaha",0.6935496,"Not working for pay before start of COVID19",17494
"1001305575","2020-06-29 03:00:00","Complete","Other","Female","65+","US-NORTHEAST-NY-New York",1.3445765,"Not working for pay before start of COVID19",34046
"1001460524","2020-06-29 16:00:00","Complete","News","Female","45-54","US-MIDWEST-MO-Creve Coeur",0.6731503,"Used to work from home, but now I commute",11657
"1001558530","2020-07-02 03:00:00","Complete","News","Female","25-34","US-MIDWEST-IL-Oak Park",0.788347,"Used to work from home, but now I commute",7907
"10015984","2020-06-29 16:00:00","Complete","News","Male","35-44","US-MIDWEST-MO",0.6347755,"I continue to commute to work",25739
"1001630035","2020-06-27 00:00:00","Complete","News","Female","18-24","US-SOUTH-FL",2.0384287,"I continue to commute to work",17373
"1001673479","2020-07-03 09:00:00","Complete","News","Male","35-44","US-SOUTH-SC",0.9299189,"I continue to commute to work",22528
"1001702511","2020-06-30 11:00:00","Complete","News","Female","35-44","US-SOUTH-VA-Virginia Beach",1.0570243,"Used to commute, now work from home",24624
"1001726263","2020-07-02 01:00:00","Complete","News","Male","35-44","US-MIDWEST-MI",0.6347755,"Used to commute, now work from home",17136
"1001740559","2020-07-05 15:00:00","Complete","News","Male","65+","US-WEST-CA",1.0004709,"Used to work from home and still do",14544
"1001797231","2020-07-03 19:00:00","Complete","News","Female","35-44","US-NORTHEAST-PA",1.4072985,"Used to commute, now work from home",22707
