"","id","time","status","pub_cat","gender","age","geo","weight","q","response_time","region","state"
"1",100012282,"2020-04-02 14:00:00","Complete","News","Unknown","Unknown","US-SOUTH-FL-Ocala",0,"None of the above / Not working for pay",9272,"SOUTH","FL"
"2",1000296325,"2020-04-02 03:00:00","Complete","News","Male","55-64","US-SOUTH-AL",0.8660212,"I continue to commute to work",22582,"SOUTH","AL"
"3",1000475325,"2020-04-01 22:00:00","Complete","Reference","Female","55-64","US-MIDWEST-MI",0.6146492,"None of the above / Not working for pay",5775,"MIDWEST","MI"
"4",1000492508,"2020-04-02 15:00:00","Complete","News","Male","55-64","US-SOUTH-TN-Nashville",0.8660212,"I continue to commute to work",20659,"SOUTH","TN"
"5",1000612950,"2020-04-02 01:00:00","Complete","Other","Female","Unknown","US-SOUTH-FL",0,"None of the above / Not working for pay",9935,"SOUTH","FL"
"6",1000750803,"2020-04-03 00:00:00","Complete","News","Unknown","Unknown","US-WEST-HI",0,"None of the above / Not working for pay",20624,"WEST","HI"
"7",1000772823,"2020-04-01 19:00:00","Complete","News","Female","Unknown","US-MIDWEST-MN",0,"None of the above / Not working for pay",9831,"MIDWEST","MN"
"8",1000977342,"2020-04-01 18:00:00","Complete","News","Female","45-54","US-NORTHEAST-PA",1.2453515,"I continue to commute to work",21037,"NORTHEAST","PA"
"9",1000980444,"2020-04-01 21:00:00","Complete","News","Female","55-64","US-SOUTH-AL",0.8425428,"None of the above / Not working for pay",9734,"SOUTH","AL"
"10",1001013317,"2020-04-02 21:00:00","Complete","Arts & Entertainment","Female","45-54","US-MIDWEST-IL",0.7161769,"Used to commute, now work from home",91006,"MIDWEST","IL"
"11",1001016100,"2020-04-02 16:00:00","Complete","News","Male","55-64","US-WEST-CO-Pueblo",1.0481691,"Used to commute, now work from home",25808,"WEST","CO"
"12",1001196221,"2020-04-02 21:00:00","Complete","News","Male","35-44","US-WEST-NV-Reno",1.2470563,"Used to commute, now work from home",25328,"WEST","NV"
"13",100128062,"2020-04-02 15:00:00","Complete","News","Female","18-24","US-SOUTH-VA",1.4947061,"Used to commute, now work from home",74771,"SOUTH","VA"
"14",100130085,"2020-04-01 22:00:00","Complete","News","Male","55-64","US-WEST-MT-Havre",1.0481691,"None of the above / Not working for pay",236530,"WEST","MT"
"15",1001494761,"2020-04-01 23:00:00","Complete","News","Unknown","Unknown","US-SOUTH-VA",0,"None of the above / Not working for pay",7808,"SOUTH","VA"
"16",1001523690,"2020-04-03 01:00:00","Complete","News","Male","Unknown","US-MIDWEST-IL-Chicago",0,"I continue to commute to work",21053,"MIDWEST","IL"
"17",100154762,"2020-04-02 02:00:00","Complete","News","Unknown","Unknown","US-SOUTH-AR-Little Rock",0,"Used to work from home and still do",5256,"SOUTH","AR"
"18",1001641354,"2020-04-01 19:00:00","Complete","News","Male","65+","US-MIDWEST-ND-Bismarck",0.603389,"None of the above / Not working for pay",7465,"MIDWEST","ND"
"19",1001774087,"2020-04-02 12:00:00","Complete","News","Male","35-44","US-MIDWEST-MO-Florissant",0.7516551,"None of the above / Not working for pay",3757,"MIDWEST","MO"
"20",1001787712,"2020-04-01 23:00:00","Complete","News","Unknown","Unknown","US-NORTHEAST-PA-Hazleton",0,"None of the above / Not working for pay",22132,"NORTHEAST","PA"
"21",1001958826,"2020-04-02 09:00:00","Complete","News","Male","35-44","US-MIDWEST-WI",0.7516551,"None of the above / Not working for pay",1766,"MIDWEST","WI"
"22",1002036081,"2020-04-01 22:00:00","Complete","News","Female","25-34","US-MIDWEST-IA-Des Moines",0.8000532,"Used to commute, now work from home",264564,"MIDWEST","IA"
"23",1002099890,"2020-04-03 03:00:00","Complete","News","Male","18-24","US-SOUTH-TX-Houston",1.5363578,"I continue to commute to work",14626,"SOUTH","TX"
"24",1002186871,"2020-04-02 16:00:00","Complete","News","Female","55-64","US-MIDWEST-OH-Tiffin",0.6146492,"I have recently been furloughed or laid-off",12049,"MIDWEST","OH"
"25",1002215451,"2020-04-02 04:00:00","Complete","News","Female","25-34","US-MIDWEST-WI",0.8000532,"I have recently been furloughed or laid-off",21425,"MIDWEST","WI"
"26",1002288069,"2020-04-03 03:00:00","Complete","Reference","Female","65+","US-MIDWEST-KS-Wichita",0.5870307,"I have recently been furloughed or laid-off",13465,"MIDWEST","KS"
"27",100229491,"2020-04-02 19:00:00","Complete","News","Unknown","Unknown","US-MIDWEST-MO",0,"I continue to commute to work",14354,"MIDWEST","MO"
"28",1002298109,"2020-04-02 02:00:00","Complete","Arts & Entertainment","Male","25-34","US-MIDWEST-MO",0.8223476,"Used to commute, now work from home",11538,"MIDWEST","MO"
"29",100249412,"2020-04-02 12:00:00","Complete","News","Female","55-64","US-SOUTH-FL-Tampa",0.8425428,"None of the above / Not working for pay",14907,"SOUTH","FL"
"30",1002717639,"2020-04-01 18:00:00","Complete","News","Female","35-44","US-SOUTH-FL-Gainesville",1.0024129,"None of the above / Not working for pay",41133,"SOUTH","FL"
"31",1002928128,"2020-04-02 03:00:00","Complete","News","Male","55-64","US-SOUTH-TN",0.8660212,"None of the above / Not working for pay",64329,"SOUTH","TN"
"32",1002960004,"2020-04-02 00:00:00","Complete","News","Male","45-54","US-MIDWEST-NE-Omaha",0.736134,"None of the above / Not working for pay",3443,"MIDWEST","NE"
"33",1003007126,"2020-04-02 18:00:00","Complete","News","Female","18-24","US-SOUTH-VA-Tuckahoe",1.4947061,"Used to commute, now work from home",27694,"SOUTH","VA"
"34",1003010154,"2020-04-02 15:00:00","Complete","News","Unknown","Unknown","US-MIDWEST-MO",0,"None of the above / Not working for pay",9508,"MIDWEST","MO"
"35",100303051,"2020-04-01 19:00:00","Complete","News","Unknown","Unknown","US-MIDWEST-IL",0,"Used to commute, now work from home",37414,"MIDWEST","IL"
"36",1003033236,"2020-04-03 08:00:00","Complete","News","Male","55-64","US-MIDWEST-IN-Evansville",0.6317771,"I continue to commute to work",13116,"MIDWEST","IN"
"37",1003296887,"2020-04-03 11:00:00","Complete","News","Female","55-64","US-MIDWEST-MN-Austin",0.6146492,"Used to commute, now work from home",11683,"MIDWEST","MN"
"38",1003299238,"2020-04-02 12:00:00","Complete","News","Male","25-34","US-SOUTH-NC-Durham",1.1272496,"None of the above / Not working for pay",3672,"SOUTH","NC"
"39",1003434195,"2020-04-01 18:00:00","Complete","News","Male","35-44","US-WEST-AZ",1.2470563,"None of the above / Not working for pay",13508,"WEST","AZ"
"40",1003449688,"2020-04-02 17:00:00","Complete","News","Female","35-44","US-NORTHEAST-NY",1.2716092,"None of the above / Not working for pay",9612,"NORTHEAST","NY"
"41",1003467924,"2020-04-03 00:00:00","Complete","News","Male","55-64","US-SOUTH-FL",0.8660212,"I have recently been furloughed or laid-off",34792,"SOUTH","FL"
"42",1003661717,"2020-04-02 05:00:00","Complete","News","Female","35-44","US-SOUTH-TX",1.0024129,"I continue to commute to work",15366,"SOUTH","TX"
"43",1003839503,"2020-04-02 11:00:00","Complete","News","Female","25-34","US-SOUTH-VA-Richmond",1.0966891,"Used to commute, now work from home",15134,"SOUTH","VA"
"44",1004080064,"2020-04-03 04:00:00","Complete","News","Unknown","Unknown","US-WEST-OR",0,"Used to commute, now work from home",27756,"WEST","OR"
"45",1004271406,"2020-04-02 12:00:00","Complete","News","Female","18-24","US-NORTHEAST-NY",1.8961069,"None of the above / Not working for pay",397984,"NORTHEAST","NY"
"46",1004299571,"2020-04-02 23:00:00","Complete","News","Male","35-44","US-NORTHEAST-NY-New York",1.3070441,"Used to work from home and still do",45937,"NORTHEAST","NY"
"47",1004469702,"2020-04-02 14:00:00","Complete","News","Female","65+","US-WEST-WA-Tacoma",0.9739312,"None of the above / Not working for pay",11962,"WEST","WA"
"48",1004580939,"2020-04-02 03:00:00","Complete","News","Female","35-44","US-SOUTH-NC",1.0024129,"I continue to commute to work",10816,"SOUTH","NC"
"49",1004702115,"2020-04-01 23:00:00","Complete","News","Male","35-44","US-SOUTH-VA",1.0303463,"I have recently been furloughed or laid-off",30549,"SOUTH","VA"
"50",1004791272,"2020-04-02 19:00:00","Complete","News","Female","35-44","US-NORTHEAST-PA",1.2716092,"I have recently been furloughed or laid-off",6473,"NORTHEAST","PA"
"51",1004832054,"2020-04-02 18:00:00","Complete","News","Female","55-64","US-SOUTH-AL-Gadsden",0.8425428,"None of the above / Not working for pay",28638,"SOUTH","AL"
